"Count","Name","Edition","Card Number","Foil","Condition","Language"
"1","Aarakocra Sneak","Commander Legends: Battle for Baldur's Gate","54","","Near Mint","English"
"1","Abdel Adrian, Gorion's Ward","Commander Legends: Battle for Baldur's Gate","2","","Near Mint","English"
"1","Aethersnipe","Double Masters 2022","37","","Near Mint","English"
"1","Agent of the Iron Throne","Commander Legends: Battle for Baldur's Gate","107","Foil","Near Mint","English"
"1","Agony Warp","Modern Masters 2017 Edition","150","","Near Mint","English"
"1","Akki Ronin","Kamigawa: Neon Dynasty","319","Foil","Near Mint","English"
"1","Akki Ronin","Kamigawa: Neon Dynasty","319","Foil","Near Mint","English"
"1","Alora, Merry Thief","Commander Legends: Battle for Baldur's Gate","55","","Near Mint","English"
"2","Amber Gristle O'Maul","Commander Legends: Battle for Baldur's Gate","159","","Near Mint","English"
"1","Ambition's Cost","Commander Legends: Battle for Baldur's Gate","110","","Near Mint","English"
"1","Ambitious Dragonborn","Commander Legends: Battle for Baldur's Gate","213","","Near Mint","English"
"1","Ambuscade","Double Masters 2022","133","","Near Mint","English"
"2","Amethyst Dragon // Explosive Crystal","Commander Legends: Battle for Baldur's Gate","160","","Near Mint","English"
"4","Ancestral Katana","Kamigawa: Neon Dynasty","1","","Near Mint","English"
"3","Angelic Observer","Streets of New Capenna","1","","Near Mint","English"
"1","Apprentice Sharpshooter","Innistrad: Crimson Vow","185","Foil","Near Mint","English"
"1","Arcane Signet","Throne of Eldraine","331","","Near Mint","English"
"1","Archmage Emeritus","Strixhaven: School of Mages","37","","Near Mint","English"
"1","Arni Brokenbrow","Promo Pack: Kaldheim","120p","","Near Mint","English"
"2","Asari Captain","Kamigawa: Neon Dynasty","327","Foil","Near Mint","English"
"2","Asari Captain","Kamigawa: Neon Dynasty","327","Foil","Near Mint","English"
"1","Asmodeus the Archfiend","Adventures in the Forgotten Realms","88","","Near Mint","English"
"1","Astral Confrontation","Commander Legends: Battle for Baldur's Gate","6","","Near Mint","English"
"4","Attended Socialite","Streets of New Capenna","133","","Near Mint","English"
"1","Aven Initiate","Amonkhet","43","Foil","Near Mint","English"
"4","Axgard Cavalry","Kaldheim","121","","Near Mint","English"
